ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,fresh_bull_5m_below,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rejection_dt,rejection_gap_top,rejection_gap_bot,rejection_gap_ticks,rejection_price,bounce_dt,bounce_price,bounce_gap_top,bounce_vol_ratio,n_bearish_total,n_bearish_consumed,last_consumed_dt,last_consumed_top,fresh_bull_5m_count,snapshot_price,target,stop,rr,entry_ready,all_bearish_consumed,pattern_status
CLS,ALL_EATEN,100,5,58.5,0,6,0.5,False,3.7,2026-04-28 04:45:00,385.18,381.51,367,380.0,2026-04-28 07:45:00,364.3083,370.5,2.36,1,1,2026-04-29 16:45:00,381.0,0,390.0,381.51,381.0,,True,True,ENTRY_READY
FORM,ALL_EATEN,100,4,54.5,0,5,0.5,False,3.8,2026-04-27 10:00:00,144.2,143.58,62,143.35,2026-04-30 10:00:00,138.94,137.4,2.16,7,7,2026-04-29 16:30:00,143.0,0,154.7324,143.58,143.0,,True,True,ENTRY_READY
MXL,ALL_EATEN,100,5,88.9,0,4,2.3,False,7.7,2026-04-27 08:30:00,62.5,62.2,30,62.0,2026-04-29 09:00:00,54.75,54.9,2.98,1,1,2026-04-28 10:00:00,51.0,0,52.17,62.2,51.0,8.57,True,True,ENTRY_READY
CLS,ALL_EATEN,100,5,58.5,0,6,0.5,False,13.5,2026-04-21 10:00:00,403.0,401.0,200,400.67,2026-04-28 05:45:00,377.6,385.18,2.36,3,3,2026-04-23 09:45:00,399.8,0,407.8177,401.0,399.8,,True,True,ENTRY_READY
UEC,ALL_EATEN,100,5,50.7,0,5,1.0,False,18.1,2026-04-21 12:00:00,14.89,14.69,20,14.68,2026-04-27 04:15:00,14.3,14.19,1.6,2,2,2026-04-22 04:30:00,14.66,0,14.76,14.69,14.66,,True,True,ENTRY_READY
SLDE,ALL_EATEN,100,4,61.4,0,4,-0.7,False,5.9,2026-04-23 12:15:00,18.6,18.39,21,18.38,2026-04-29 13:00:00,18.505,18.31,3.43,1,1,2026-04-24 14:30:00,18.22,0,18.23,18.39,18.22,16.0,True,True,ENTRY_READY
FORM,ALL_EATEN,100,4,54.5,0,5,0.5,False,6.5,2026-04-28 10:15:00,133.36,132.785,58,132.6525,2026-04-30 12:00:00,131.725,130.98,2.16,1,1,2026-04-28 14:00:00,131.84,0,132.8,132.785,131.84,,True,True,ENTRY_READY
JTAI,ALL_EATEN,100,4,56.5,0,4,-1.0,False,17.6,2026-04-16 17:00:00,7.79,7.55,24,7.54,2026-04-20 10:45:00,7.67,7.5324,5.91,6,6,2026-04-20 04:30:00,7.52,0,7.7,7.55,7.52,,True,True,ENTRY_READY
JTAI,ALL_EATEN,100,4,56.5,0,4,-1.0,False,17.6,2026-04-17 05:45:00,7.75,7.52,23,7.44,2026-04-20 11:15:00,7.46,7.35,5.91,3,3,2026-04-20 04:30:00,7.49,0,7.7,7.52,7.49,,True,True,ENTRY_READY
FORM,ALL_EATEN,100,4,54.5,0,5,0.5,False,12.5,2026-04-21 08:15:00,147.48,146.78,70,146.5,2026-04-27 09:45:00,146.6,144.81,1.59,2,2,2026-04-23 10:00:00,146.64,0,147.1,146.78,146.64,,True,True,ENTRY_READY
FORM,ALL_EATEN,100,4,54.5,0,5,0.5,False,13.5,2026-04-22 06:00:00,146.89,145.5,139,145.12,2026-04-27 09:45:00,146.6,144.81,1.59,1,1,2026-04-22 12:15:00,144.2,0,144.84,145.5,144.2,1.03,True,True,ENTRY_READY
OBE,ALL_EATEN,100,4,62.6,0,4,0.4,False,10.1,2026-04-23 08:30:00,13.0,12.8,20,12.75,2026-04-23 09:30:00,13.155,12.6,1.87,1,1,2026-04-23 10:00:00,12.7545,0,13.09,12.8,12.7545,,True,True,ENTRY_READY
LEGN,ALL_EATEN,100,4,24.7,0,6,1.2,False,12.6,2026-04-17 07:30:00,21.49,21.28,21,21.2351,2026-04-20 09:00:00,21.21,21.05,3.23,1,1,2026-04-20 09:30:00,21.17,0,22.454,21.28,21.17,,True,True,ENTRY_READY
GLND,ALL_EATEN,100,4,79.4,0,4,-3.4,False,10.6,2026-04-24 09:00:00,7.464,7.2,26,7.183,2026-04-27 04:00:00,6.34,7.05,5.07,2,2,2026-04-27 09:00:00,6.905,0,7.35,7.2,6.905,,True,True,ENTRY_READY
VSTM,ALL_EATEN,100,4,47.4,0,4,2.3,False,20.3,2026-04-08 12:30:00,5.705,5.49,21,5.485,2026-04-29 10:45:00,5.26,5.45,1.56,3,3,2026-04-13 10:00:00,5.39,0,5.78,5.49,5.39,,True,True,ENTRY_READY
VSTM,ALL_EATEN,100,4,47.4,0,4,2.3,True,8.3,2026-04-21 10:00:00,6.41,6.2,21,6.1993,2026-04-29 07:00:00,5.525,5.65,1.56,9,9,2026-04-23 16:30:00,6.19,0,6.35,6.2,6.19,,True,True,ENTRY_READY
CMPX,ALL_EATEN,100,4,48.3,0,4,1.0,False,11.8,2026-04-21 10:45:00,5.58,5.35,23,5.31,2026-04-27 06:45:00,4.42,5.29,11.34,1,1,2026-04-24 16:30:00,5.3,0,5.6,5.35,5.3,,True,True,ENTRY_READY
CMPX,ALL_EATEN,100,4,48.3,0,4,1.0,False,9.0,2026-04-27 11:45:00,3.38,2.0,138,1.965,2026-04-27 18:30:00,1.86,1.78,11.34,1,1,2026-04-27 19:00:00,1.7899,0,1.83,2.0,1.7899,4.24,True,True,ENTRY_READY
TMUS,ALL_EATEN,100,2,29.3,0,1,-0.7,False,3.8,2026-04-24 10:30:00,193.39,192.31,108,191.915,2026-04-29 06:00:00,190.54,191.0,1.6,1,1,2026-04-29 08:30:00,191.0,0,191.5,192.31,191.0,1.62,True,True,ENTRY_READY
AMKR,ALL_EATEN,100,3,164.8,0,3,0.1,False,7.3,2026-04-27 19:45:00,71.8,71.35,45,71.3,2026-04-28 04:30:00,68.0,67.8121,1.72,1,1,2026-04-28 10:00:00,71.3,0,71.97,71.35,71.3,,True,True,ENTRY_READY
AMKR,ALL_EATEN,100,3,164.8,0,3,0.1,False,15.0,2026-04-22 10:30:00,72.5,72.0,50,71.74,2026-04-28 04:30:00,68.0,67.8121,1.72,2,2,2026-04-23 08:00:00,71.46,0,72.4073,72.0,71.46,,True,True,ENTRY_READY
AMKR,ALL_EATEN,100,3,164.8,0,3,0.1,False,7.3,2026-04-24 09:30:00,77.65,77.2,45,77.1087,2026-04-28 04:30:00,68.0,67.8121,1.72,1,1,2026-04-28 10:00:00,71.3,0,71.97,77.2,71.3,7.81,True,True,ENTRY_READY
TMO,ALL_EATEN,100,3,43.8,0,4,0.1,False,18.7,2026-04-09 10:00:00,505.0,496.4,860,496.06,2026-04-23 06:45:00,490.0,495.35,3.33,1,1,2026-04-13 10:00:00,496.11,0,500.745,496.4,496.11,,True,True,ENTRY_READY
OUST,ALL_EATEN,100,3,44.1,0,4,0.4,False,14.4,2026-04-22 11:30:00,27.94,27.68,26,27.5,2026-04-24 07:00:00,27.4686,27.26,1.64,4,4,2026-04-23 08:15:00,27.65,0,27.8,27.68,27.65,,True,True,ENTRY_READY
SQM,ALL_EATEN,100,3,23.6,0,6,0.6,False,17.5,2026-04-15 08:45:00,88.8457,88.33,52,88.29,2026-04-17 12:45:00,88.42,88.02,1.69,1,1,2026-04-16 04:45:00,87.94,0,89.85,88.33,87.94,,True,True,ENTRY_READY
BRBR,ALL_EATEN,100,3,63.4,0,2,-2.8,False,19.8,2026-04-08 10:00:00,16.36,16.01,35,15.92,2026-04-10 10:30:00,14.785,15.303,1.86,1,1,2026-04-09 10:00:00,15.73,0,15.78,16.01,15.73,4.6,True,True,ENTRY_READY
ASTC,ALL_EATEN,100,2,35.7,0,0,-6.5,False,5.2,2026-04-23 14:45:00,3.7,3.34,36,3.325,2026-04-24 09:30:00,3.59,3.32,4.38,1,1,2026-04-24 09:45:00,3.32,0,3.56,3.34,3.32,,True,True,ENTRY_READY
HCAI,ALL_EATEN,100,1,16.0,0,3,0.2,False,3.4,2026-04-24 04:15:00,8.59,8.34,25,8.3,2026-04-30 06:15:00,8.36,7.128,12.81,21,21,2026-04-30 07:30:00,8.0,0,10.14,8.34,8.0,,True,True,ENTRY_READY
HCAI,ALL_EATEN,100,1,16.0,0,3,0.2,False,3.5,2026-04-27 14:15:00,7.48,6.99,49,6.96,2026-04-30 06:15:00,8.36,6.945,12.81,17,17,2026-04-30 07:15:00,6.73,0,9.74,6.99,6.73,,True,True,ENTRY_READY
HCAI,ALL_EATEN,100,1,16.0,0,3,0.2,False,3.5,2026-04-28 12:15:00,6.62,6.07,55,6.06,2026-04-30 06:45:00,7.94,6.05,12.81,10,10,2026-04-30 06:45:00,6.06,0,7.94,6.07,6.06,,True,True,ENTRY_READY
TNGX,ALL_EATEN,100,2,45.1,0,3,-0.1,False,5.7,2026-04-22 19:30:00,26.97,26.53,44,26.49,2026-04-24 09:15:00,26.1,26.0354,1.88,1,1,2026-04-27 09:45:00,26.49,0,26.7733,26.53,26.49,,True,True,ENTRY_READY
ASTC,ALL_EATEN,100,2,35.7,0,0,-6.5,False,9.0,2026-04-15 09:15:00,3.58,3.31,27,3.3,2026-04-24 09:30:00,3.59,3.2899,4.38,16,16,2026-04-20 11:30:00,3.29,0,3.3316,3.31,3.29,,True,True,ENTRY_READY
HCAI,ALL_EATEN,100,1,16.0,0,3,0.2,False,6.8,2026-04-23 04:15:00,9.76,9.46,30,8.96,2026-04-30 06:15:00,8.36,7.128,12.81,35,35,2026-04-24 13:45:00,8.72,0,8.73,9.46,8.72,73.0,True,True,ENTRY_READY
HCAI,ALL_EATEN,100,1,16.0,0,3,0.2,False,14.8,2026-04-10 04:00:00,7.128,6.9,23,6.249,2026-04-30 06:15:00,8.36,6.2,12.81,54,54,2026-04-20 18:00:00,6.875,0,6.95,6.9,6.875,,True,True,ENTRY_READY
HCAI,ALL_EATEN,100,1,16.0,0,3,0.2,False,14.9,2026-04-14 12:30:00,6.849,6.41,44,6.31,2026-04-30 06:15:00,8.36,6.3,12.81,43,43,2026-04-20 17:30:00,6.34,0,7.3,6.41,6.34,,True,True,ENTRY_READY
ASTC,EATING_42/56,87,2,35.7,0,0,-6.5,False,4.8,2026-04-08 07:45:00,3.9397,3.7,24,3.6969,2026-04-24 09:30:00,3.59,3.36,4.38,56,42,2026-04-24 12:00:00,3.49,0,3.51,3.7,3.49,9.5,False,False,EATING
HUBC,EATING_4/8,75,3,225.6,0,3,-1.9,False,20.3,2026-04-17 04:30:00,8.31,8.05,26,7.995,2026-04-21 07:30:00,5.3,6.335,1.72,8,4,2026-04-20 19:45:00,5.9863,0,6.12,8.05,5.9863,14.44,False,False,EATING
TMO,EATING_1/2,75,3,43.8,0,4,0.1,False,18.7,2026-04-10 10:30:00,506.4892,500.46,603,500.3,2026-04-23 06:45:00,490.0,495.35,3.33,2,1,2026-04-13 10:00:00,496.11,0,500.745,500.46,496.11,,False,False,EATING
HUBC,EATING_4/11,68,3,225.6,0,3,-1.9,False,20.3,2026-04-16 05:30:00,11.5,11.28,22,11.005,2026-04-21 07:30:00,5.3,6.335,1.72,11,4,2026-04-20 19:45:00,5.9863,0,6.12,11.28,5.9863,38.59,False,False,EATING
SLDE,BOUNCED_CLEAN,50,4,61.4,0,4,-0.7,False,1.9,2026-04-08 11:00:00,18.31,17.99,32,17.985,2026-04-29 16:00:00,18.44,17.94,3.43,0,0,,,0,18.44,17.99,17.92,,False,False,BOUNCED
SLDE,BOUNCED_CLEAN,50,4,61.4,0,4,-0.7,False,2.3,2026-04-29 11:30:00,18.75,18.47,28,18.43,2026-04-29 13:00:00,18.505,18.31,3.43,0,0,,,0,18.505,18.47,18.27,,False,False,BOUNCED
FORM,BOUNCED_CLEAN,50,4,54.5,0,5,0.5,False,2.3,2026-04-29 10:30:00,138.48,137.08,140,136.88,2026-04-30 10:30:00,134.54,134.1,2.16,0,0,,,0,134.54,137.08,132.52,1.26,False,False,BOUNCED
ISPC,BOUNCED_CLEAN,50,3,410.8,0,2,-12.4,False,1.2,2026-05-01 04:45:00,6.88,6.29,59,6.2,2026-05-01 05:45:00,6.36,6.152,4.11,0,0,,,0,6.36,6.29,6.15,,False,False,BOUNCED
KLAC,BOUNCED_CLEAN,50,3,53.3,0,3,-0.1,False,2.8,2026-04-13 07:15:00,1740.01,1731.0,901,1725.4982,2026-04-30 06:45:00,1685.0,1700.0,2.21,0,0,,,0,1685.0,1731.0,1682.5,18.4,False,False,BOUNCED
KLAC,BOUNCED_CLEAN,50,3,53.3,0,3,-0.1,False,2.8,2026-04-16 08:00:00,1758.76,1747.9964,1076,1743.99,2026-04-30 06:45:00,1685.0,1700.0,2.21,0,0,,,0,1685.0,1747.9964,1682.5,25.2,False,False,BOUNCED
CLS,BOUNCED_CLEAN,50,5,58.5,0,6,0.5,False,7.4,2026-04-16 07:30:00,383.89,380.06,383,377.0,2026-04-28 07:45:00,364.3083,370.5,2.36,0,0,,,0,364.3083,380.06,359.06,3.0,False,False,BOUNCED
KLAC,BOUNCED_CLEAN,50,3,53.3,0,3,-0.1,False,3.0,2026-04-15 08:30:00,1795.0,1781.97,1303,1768.0,2026-04-30 04:30:00,1698.97,1755.69,2.21,0,0,,,0,1698.97,1781.97,1680.0,4.38,False,False,BOUNCED
KLAC,BOUNCED_CLEAN,50,3,53.3,0,3,-0.1,False,3.0,2026-04-29 09:30:00,1819.0,1810.0,900,1805.21,2026-04-30 04:30:00,1698.97,1795.0,2.21,0,0,,,0,1698.97,1810.0,1680.0,5.85,False,False,BOUNCED
AMKR,BOUNCED_CLEAN,50,3,164.8,0,3,0.1,False,3.1,2026-04-30 07:15:00,71.37,70.61,76,68.0,2026-04-30 07:45:00,68.0,67.8121,1.98,0,0,,,0,68.0,70.61,67.5242,5.49,False,False,BOUNCED
AMKR,BOUNCED_CLEAN,50,3,164.8,0,3,0.1,False,3.2,2026-04-29 12:45:00,71.36,70.9147,45,70.83,2026-04-30 07:15:00,68.0,67.8121,1.98,0,0,,,0,68.0,70.9147,67.3,4.16,False,False,BOUNCED
MARA,BOUNCED_CLEAN,50,3,80.3,0,3,-1.8,False,4.0,2026-04-27 11:00:00,11.5989,11.39,21,11.3176,2026-04-30 04:00:00,10.74,11.02,1.83,0,0,,,0,10.74,11.39,10.63,5.91,False,False,BOUNCED
FORM,BOUNCED_CLEAN,50,4,54.5,0,5,0.5,False,9.2,2026-04-24 09:15:00,154.0,153.15,85,153.13,2026-04-27 09:45:00,146.6,144.81,1.59,0,0,,,0,146.6,153.15,142.58,1.63,False,False,BOUNCED
TMUS,BOUNCED_CLEAN,50,2,29.3,0,1,-0.7,False,4.1,2026-04-29 05:00:00,191.0,190.21,79,190.15,2026-04-29 06:45:00,190.39,189.9,1.6,0,0,,,0,190.39,190.21,189.8,,False,False,BOUNCED
KLAC,BOUNCED_CLEAN,50,3,53.3,0,3,-0.1,False,6.1,2026-04-21 10:15:00,1821.99,1809.0,1299,1807.795,2026-04-28 09:30:00,1842.0,1795.0,1.56,0,0,,,0,1842.0,1809.0,1772.66,,False,False,BOUNCED
KLAC,BOUNCED_CLEAN,50,3,53.3,0,3,-0.1,False,6.1,2026-04-22 09:30:00,1803.5066,1796.0,751,1793.55,2026-04-28 09:30:00,1842.0,1781.0,1.56,0,0,,,0,1842.0,1796.0,1772.66,,False,False,BOUNCED
KLAC,BOUNCED_CLEAN,50,3,53.3,0,3,-0.1,False,6.1,2026-04-23 13:00:00,1828.0,1818.0,1000,1813.58,2026-04-28 09:30:00,1842.0,1795.0,1.56,0,0,,,0,1842.0,1818.0,1772.66,,False,False,BOUNCED
HUBC,BOUNCED_CLEAN,50,3,225.6,0,3,-1.9,False,19.8,2026-04-20 12:45:00,6.33,5.385,95,5.35,2026-04-21 07:30:00,5.3,5.34,1.72,0,0,,,0,5.3,5.385,5.28,4.25,False,False,BOUNCED
AMKR,BOUNCED_CLEAN,50,3,164.8,0,3,0.1,False,7.7,2026-04-28 07:15:00,67.8668,67.31,56,67.28,2026-04-28 07:30:00,67.0,67.13,1.72,0,0,,,0,67.0,67.31,66.7,1.03,False,False,BOUNCED
POET,BOUNCED_CLEAN,50,3,48.4,0,4,-0.9,False,10.5,2026-04-27 08:45:00,12.36,11.94,42,11.32,2026-04-27 09:15:00,9.56,8.84,4.8,0,0,,,0,9.56,11.94,8.12,1.65,False,False,BOUNCED
AMAT,BOUNCED_CLEAN,50,3,46.7,0,4,-0.5,False,7.2,2026-04-17 09:15:00,401.98,400.0,198,399.19,2026-04-28 07:30:00,391.0,396.0,1.83,0,0,,,0,391.0,400.0,390.0,9.0,False,False,BOUNCED
AMAT,BOUNCED_CLEAN,50,3,46.7,0,4,-0.5,False,7.2,2026-04-22 09:30:00,400.0,397.7,230,395.665,2026-04-28 07:30:00,391.0,395.37,1.83,0,0,,,0,391.0,397.7,390.0,6.7,False,False,BOUNCED
AMAT,BOUNCED_CLEAN,50,3,46.7,0,4,-0.5,False,7.7,2026-04-23 05:00:00,408.77,405.0,377,402.02,2026-04-28 04:15:00,401.0,401.51,1.83,0,0,,,0,401.0,405.0,400.5,8.0,False,False,BOUNCED
AMAT,BOUNCED_CLEAN,50,3,46.7,0,4,-0.5,False,7.7,2026-04-27 12:45:00,404.57,402.02,255,401.765,2026-04-28 04:15:00,401.0,401.51,1.83,0,0,,,0,401.0,402.02,400.5,2.04,False,False,BOUNCED
TMO,BOUNCED_CLEAN,50,3,43.8,0,4,0.1,False,8.6,2026-04-07 10:15:00,484.16,482.0,216,481.825,2026-04-23 08:30:00,489.0,478.43,3.33,0,0,,,0,489.0,482.0,478.0,,False,False,BOUNCED
OUST,BOUNCED_CLEAN,50,3,44.1,0,4,0.4,False,12.2,2026-04-24 06:00:00,27.52,27.3,22,27.27,2026-04-24 07:00:00,27.4686,27.26,1.64,0,0,,,0,27.4686,27.3,27.11,,False,False,BOUNCED
SQM,BOUNCED_CLEAN,50,3,23.6,0,6,0.6,False,15.0,2026-04-16 07:00:00,89.99,89.6,39,89.44,2026-04-17 11:15:00,89.18,88.8457,1.69,0,0,,,0,89.18,89.6,88.8,1.11,False,False,BOUNCED
SQM,BOUNCED_CLEAN,50,3,23.6,0,6,0.6,False,15.3,2026-04-17 04:00:00,96.1591,95.2133,95,95.11,2026-04-17 08:45:00,95.84,94.86,1.69,0,0,,,0,95.84,95.2133,94.43,,False,False,BOUNCED
BRBR,BOUNCED_CLEAN,50,3,63.4,0,2,-2.8,False,18.7,2026-04-09 15:00:00,16.36,15.66,70,15.65,2026-04-10 10:30:00,14.785,15.303,1.86,0,0,,,0,14.785,15.66,14.54,3.57,False,False,BOUNCED
GEV,BOUNCED_CLEAN,50,3,47.9,0,5,0.4,False,17.1,2026-04-20 06:30:00,1003.95,995.51,844,995.0,2026-04-22 06:15:00,1017.0,992.51,1.76,0,0,,,0,1017.0,995.51,975.1,,False,False,BOUNCED
VELO,BOUNCED_CLEAN,50,2,37.5,0,3,0.4,False,14.6,2026-04-22 09:30:00,15.7,15.45,25,15.35,2026-04-23 04:15:00,14.86,14.85,1.59,0,0,,,0,14.86,15.45,14.74,4.92,False,False,BOUNCED
VELO,BOUNCED_CLEAN,50,2,37.5,0,3,0.4,False,9.4,2026-04-24 09:30:00,16.75,16.51,24,16.29,2026-04-27 07:45:00,15.65,15.7,1.71,0,0,,,0,15.65,16.51,14.79,1.0,False,False,BOUNCED
TNGX,BOUNCED_CLEAN,50,2,45.1,0,3,-0.1,False,7.0,2026-04-17 09:30:00,27.99,25.88,211,25.5,2026-04-24 09:45:00,25.31,25.4,1.88,0,0,,,0,25.31,25.88,24.95,1.58,False,False,BOUNCED
TMUS,BOUNCED_WAITING,50,2,29.3,0,1,-0.7,False,4.2,2026-04-10 09:45:00,197.86,197.01,85,196.54,2026-04-29 06:00:00,190.54,191.0,1.6,2,0,,,0,190.54,197.01,190.51,215.67,False,False,BOUNCED
KLAC,BOUNCED_WAITING,50,3,53.3,0,3,-0.1,False,6.3,2026-04-27 09:15:00,1942.0,1932.0,1000,1920.78,2026-04-28 07:30:00,1839.98,1840.5,1.56,1,0,,,0,1839.98,1932.0,1835.0,18.48,False,False,BOUNCED
HCAI,BOUNCED_WAITING,50,1,16.0,0,3,0.2,False,2.9,2026-04-30 10:30:00,12.3,11.9,40,11.72,2026-04-30 11:00:00,10.57,10.869,12.81,1,0,,,0,10.57,11.9,10.04,2.51,False,False,BOUNCED
AMAT,BOUNCED_WAITING,50,3,46.7,0,4,-0.5,False,7.2,2026-04-28 04:30:00,405.8,401.2,460,401.0,2026-04-28 07:30:00,391.0,396.0,1.83,1,0,,,0,391.0,401.2,390.0,10.2,False,False,BOUNCED
TMO,BOUNCED_WAITING,50,3,43.8,0,4,0.1,False,8.8,2026-04-22 15:45:00,516.76,514.23,253,513.99,2026-04-23 06:45:00,490.0,495.35,3.33,1,0,,,0,490.0,514.23,488.8,20.19,False,False,BOUNCED
TMO,BOUNCED_WAITING,50,3,43.8,0,4,0.1,False,8.8,2026-04-16 11:30:00,527.45,522.48,497,522.405,2026-04-23 06:45:00,490.0,495.35,3.33,1,0,,,0,490.0,522.48,488.8,27.07,False,False,BOUNCED
GEV,BOUNCED_WAITING,50,3,47.9,0,5,0.4,False,7.8,2026-04-27 10:00:00,1129.0,1124.0,500,1116.325,2026-04-28 06:30:00,1099.79,1099.94,1.76,1,0,,,0,1099.79,1124.0,1098.75,23.28,False,False,BOUNCED
TMUS,BOUNCED_WAITING,50,2,29.3,0,1,-0.7,False,14.4,2026-03-31 10:45:00,212.5,210.74,176,210.36,2026-04-21 09:45:00,196.02,204.46,1.95,8,0,,,0,196.02,210.74,195.06,15.33,False,False,BOUNCED
TMUS,BOUNCED_WAITING,50,2,29.3,0,1,-0.7,False,14.4,2026-04-01 09:30:00,210.1,208.99,111,206.9167,2026-04-21 09:45:00,196.02,204.46,1.95,7,0,,,0,196.02,208.99,195.06,13.51,False,False,BOUNCED
TMUS,BOUNCED_WAITING,50,2,29.3,0,1,-0.7,False,14.4,2026-04-02 09:30:00,203.95,203.1,85,201.39,2026-04-21 09:45:00,196.02,198.65,1.95,4,0,,,0,196.02,203.1,195.06,7.37,False,False,BOUNCED
TMUS,BOUNCED_WAITING,50,2,29.3,0,1,-0.7,False,14.4,2026-04-07 19:45:00,203.87,203.0,87,202.96,2026-04-21 09:45:00,196.02,198.65,1.95,3,0,,,0,196.02,203.0,195.06,7.27,False,False,BOUNCED
TMUS,BOUNCED_WAITING,50,2,29.3,0,1,-0.7,False,14.4,2026-04-08 06:45:00,203.87,202.96,91,202.5,2026-04-21 09:45:00,196.02,198.65,1.95,2,0,,,0,196.02,202.96,195.06,7.23,False,False,BOUNCED
